index,reportdate,api_wellno,fileno,company,wellname,quarter,section,township,range,county,fieldname,pool,oil,wtr,days,runs,gas,gassold,flared,lat,long,county_name,year,month,days_in_month,oil_per_day,gas_per_day,water_per_day,gassold_per_day,flared_per_day,gas_boe,gas_boe_per_day,total_boed
9700,2023-07,33025045560000,39304,CONTINENTAL RESOURCES INC,Meadowlark FIU 9-6H1,SESE,31.0,146.0,95.0,DUN,JIM CREEK,BAKKEN,0.0,1706.0,24.0,0,0.0,0,0.0,47.4164566204651,-102.826037267896,Dunn,2023,7,31,0.0,0.0,55.03225806451613,0.0,0.0,0.0,0.0,0.0
9721,2023-07,33025045150000,39136,CONTINENTAL RESOURCES INC,Micahlucas 5-5H,SESW,5.0,145.0,96.0,DUN,JIM CREEK,BAKKEN,1338.0,3713.0,6.0,1312,679.0,647,32.0,47.4022805094011,-102.94010434012,Dunn,2023,7,31,43.16129032258065,21.903225806451612,119.7741935483871,20.870967741935484,1.032258064516129,113.16666666666667,3.650537634408602,46.81182795698925
9722,2023-07,33025045160000,39137,CONTINENTAL RESOURCES INC,Micahlucas 6-5H1,SESW,5.0,145.0,96.0,DUN,JIM CREEK,BAKKEN,338.0,3912.0,4.0,338,5.0,0,5.0,47.4022805983151,-102.939922424967,Dunn,2023,7,31,10.903225806451612,0.16129032258064516,126.19354838709677,0.0,0.16129032258064516,0.8333333333333334,0.026881720430107527,10.93010752688172
9723,2023-07,33025045170000,39138,CONTINENTAL RESOURCES INC,Micahlucas 7-5H,SESW,5.0,145.0,96.0,DUN,JIM CREEK,BAKKEN,488.0,3611.0,5.0,488,6.0,0,6.0,47.4022806872291,-102.939740509814,Dunn,2023,7,31,15.741935483870968,0.1935483870967742,116.48387096774194,0.0,0.1935483870967742,1.0,0.03225806451612903,15.774193548387098
9724,2023-07,33025045180000,39139,CONTINENTAL RESOURCES INC,Micahlucas 8-5H1,SWSE,5.0,145.0,96.0,DUN,JIM CREEK,BAKKEN,5782.0,15227.0,9.0,5613,4315.0,4157,158.0,47.402280752436,-102.939607098611,Dunn,2023,7,31,186.51612903225808,139.19354838709677,491.19354838709677,134.09677419354838,5.096774193548387,719.1666666666666,23.198924731182796,209.71505376344086
9725,2023-07,33025045190000,39140,CONTINENTAL RESOURCES INC,Micahlucas 9-5H,SWSE,5.0,145.0,96.0,DUN,JIM CREEK,BAKKEN,7991.0,15315.0,13.0,7790,5577.0,5056,521.0,47.4022808413495,-102.939425184412,Dunn,2023,7,31,257.7741935483871,179.90322580645162,494.03225806451616,163.09677419354838,16.806451612903224,929.5,29.983870967741936,287.758064516129
9782,2023-07,33025045540000,39302,CONTINENTAL RESOURCES INC,Skachenko Federal 10-31H1,SESE,31.0,146.0,95.0,DUN,JIM CREEK,BAKKEN,0.0,1465.0,21.0,0,0.0,0,0.0,47.4167033589246,-102.826036699779,Dunn,2023,7,31,0.0,0.0,47.25806451612903,0.0,0.0,0.0,0.0,0.0
9783,2023-07,33025045530000,39301,CONTINENTAL RESOURCES INC,Skachenko Federal 9-31H,SESE,31.0,146.0,95.0,DUN,JIM CREEK,BAKKEN,0.0,1366.0,20.0,0,0.0,0,0.0,47.4168267281543,-102.826036415721,Dunn,2023,7,31,0.0,0.0,44.064516129032256,0.0,0.0,0.0,0.0,0.0
9784,2023-07,33025045410000,39238,CONTINENTAL RESOURCES INC,Skachenko FIU 4-31HSL,SESW,31.0,146.0,95.0,DUN,JIM CREEK,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.4164467928648,-102.836696286774,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9785,2023-07,33025045420000,39239,CONTINENTAL RESOURCES INC,Skachenko FIU 5-31H1,SESW,31.0,146.0,95.0,DUN,JIM CREEK,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.4164469606379,-102.836514319993,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9786,2023-07,33025045430000,39240,CONTINENTAL RESOURCES INC,Skachenko FIU 6-31H,SESW,31.0,146.0,95.0,DUN,JIM CREEK,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.416447128411,-102.836332353213,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9787,2023-07,33025045480000,39245,CONTINENTAL RESOURCES INC,Skachenko FIU 7-31H,SESW,31.0,146.0,95.0,DUN,JIM CREEK,BAKKEN,155.0,2776.0,4.0,155,0.0,0,0.0,47.4164479672766,-102.835422519308,Dunn,2023,7,31,5.0,0.0,89.54838709677419,0.0,0.0,0.0,0.0,5.0
9788,2023-07,33025045520000,39300,CONTINENTAL RESOURCES INC,Skachenko FIU 8-31H1,SESE,31.0,146.0,95.0,DUN,JIM CREEK,BAKKEN,0.0,2040.0,20.0,0,0.0,0,0.0,47.4169500973841,-102.826036131662,Dunn,2023,7,31,0.0,0.0,65.80645161290323,0.0,0.0,0.0,0.0,0.0
9961,2023-07,33025045770000,39356,MARATHON OIL COMPANY,KYE 44-31H,SENW,6.0,145.0,94.0,DUN,KILLDEER,BAKKEN,45205.0,53929.0,28.0,44905,36586.0,36202,266.0,47.4113413380554,-102.708872259137,Dunn,2023,7,31,1458.225806451613,1180.1935483870968,1739.6451612903227,1167.8064516129032,8.580645161290322,6097.666666666667,196.6989247311828,1654.9247311827958
10251,2023-07,33025046110000,39450,CONTINENTAL RESOURCES INC,Edward 10-23H,SESE,23.0,146.0,97.0,DUN,LITTLE KNIFE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.4451809840963,-102.994091276541,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10252,2023-07,33025046120000,39451,CONTINENTAL RESOURCES INC,Edward 11-23H1,SESE,23.0,146.0,97.0,DUN,LITTLE KNIFE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.4451811887637,-102.993961810555,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10253,2023-07,33025046130000,39452,CONTINENTAL RESOURCES INC,Edward 12-23HSL,SESE,23.0,146.0,97.0,DUN,LITTLE KNIFE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.4451786519251,-102.993832335018,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10254,2023-07,33025046140000,39454,CONTINENTAL RESOURCES INC,Edward 2-23HSL1,SWSE,23.0,146.0,97.0,DUN,LITTLE KNIFE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.4453001567608,-103.002956114792,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10255,2023-07,33025046340000,39567,CONTINENTAL RESOURCES INC,Edward 3-23H,SWSE,23.0,146.0,97.0,DUN,LITTLE KNIFE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.4453012951337,-103.002826652059,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10256,2023-07,33025046150000,39455,CONTINENTAL RESOURCES INC,Edward 4-23H1,SWSE,23.0,146.0,97.0,DUN,LITTLE KNIFE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.4453024335067,-103.002697189327,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10257,2023-07,33025046160000,39456,CONTINENTAL RESOURCES INC,Edward 5-23H,SWSE,23.0,146.0,97.0,DUN,LITTLE KNIFE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.4453035718796,-103.002567726594,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10258,2023-07,33025046170000,39457,CONTINENTAL RESOURCES INC,Edward 6-23H1,SWSE,23.0,146.0,97.0,DUN,LITTLE KNIFE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.4453047102526,-103.002438263861,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10259,2023-07,33025046080000,39447,CONTINENTAL RESOURCES INC,Edward 7-23H,SESE,23.0,146.0,97.0,DUN,LITTLE KNIFE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.4451831116002,-102.99447968405,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10260,2023-07,33025046090000,39448,CONTINENTAL RESOURCES INC,Edward 8-23H1,SESE,23.0,146.0,97.0,DUN,LITTLE KNIFE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.4451833162676,-102.994350218065,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10261,2023-07,33025046100000,39449,CONTINENTAL RESOURCES INC,Edward 9-23H1,SESE,23.0,146.0,97.0,DUN,LITTLE KNIFE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.445180779429,-102.994220742527,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10494,2023-07,33025046180000,39458,CONTINENTAL RESOURCES INC,Arthur 4-12H,SWSW,12.0,146.0,97.0,DUN,LITTLE KNIFE,CONFIDENTIAL,,,,0,,0,,47.4745357499928,-102.9887850425,Dunn,2023,7,31,,,,0.0,,,,
10495,2023-07,33025046310000,39557,CONTINENTAL RESOURCES INC,Fuller 10-2H,LOT1,2.0,146.0,97.0,DUN,LITTLE KNIFE,CONFIDENTIAL,,,,0,,0,,47.5010144315951,-102.997232215831,Dunn,2023,7,31,,,,0.0,,,,
10496,2023-07,33025046320000,39558,CONTINENTAL RESOURCES INC,Fuller 11-2H1,LOT1,2.0,146.0,97.0,DUN,LITTLE KNIFE,CONFIDENTIAL,,,,0,,0,,47.5010173571865,-102.997050006058,Dunn,2023,7,31,,,,0.0,,,,
10497,2023-07,33025046330000,39559,CONTINENTAL RESOURCES INC,Fuller 12-2HSL,LOT1,2.0,146.0,97.0,DUN,LITTLE KNIFE,CONFIDENTIAL,,,,0,,0,,47.5010202827779,-102.996867796285,Dunn,2023,7,31,,,,0.0,,,,
10498,2023-07,33025046300000,39556,CONTINENTAL RESOURCES INC,Fuller 9-2H1,LOT1,2.0,146.0,97.0,DUN,LITTLE KNIFE,CONFIDENTIAL,,,,0,,0,,47.5010115060037,-102.997414425603,Dunn,2023,7,31,,,,0.0,,,,
10785,2023-07,33105059390000,39500,ENERPLUS RESOURCES USA CORPORATION,Brown Bear 157-99-1-12-3H,LOT4,1.0,157.0,99.0,WIL,LONE TREE LAKE,CONFIDENTIAL,,,,12318,,8900,,48.4581572246413,-103.424481486045,Williams,2023,7,31,,,,287.0967741935484,,,,
10786,2023-07,33105059400000,39501,ENERPLUS RESOURCES USA CORPORATION,Brown Bear 157-99-1-12-4H,LOT4,1.0,157.0,99.0,WIL,LONE TREE LAKE,CONFIDENTIAL,,,,13799,,9560,,48.4581580287242,-103.424625805019,Williams,2023,7,31,,,,308.38709677419354,,,,
10787,2023-07,33105059410000,39502,ENERPLUS RESOURCES USA CORPORATION,Brown Bear 157-99-1-12-5H,LOT4,1.0,157.0,99.0,WIL,LONE TREE LAKE,CONFIDENTIAL,,,,14691,,12220,,48.4581588328072,-103.424770123993,Williams,2023,7,31,,,,394.19354838709677,,,,
10894,2023-07,33105058780000,39309,HESS BAKKEN INVESTMENTS II LLC,SC-JW Hamilton- 153-99-1314H-8,SENE,13.0,153.0,99.0,WIL,LONG CREEK,CONFIDENTIAL,,,,32996,,56711,,48.0775586163505,-103.347805726139,Williams,2023,7,31,,,,1829.3870967741937,,,,
10895,2023-07,33105058770000,39308,HESS BAKKEN INVESTMENTS II LLC,SC-JW Hamilton- 153-99-1314H-9,SENE,13.0,153.0,99.0,WIL,LONG CREEK,CONFIDENTIAL,,,,25180,,40525,,48.0776490366098,-103.347802995352,Williams,2023,7,31,,,,1307.258064516129,,,,
10896,2023-07,33105058810000,39312,HESS BAKKEN INVESTMENTS II LLC,SC-JW Hamilton-LN- 153-99-1314H-1,SENE,13.0,153.0,99.0,WIL,LONG CREEK,CONFIDENTIAL,,,,36263,,60098,,48.0777394568691,-103.347800264564,Williams,2023,7,31,,,,1938.6451612903227,,,,
11326,2023-07,33061050290000,39111,HESS BAKKEN INVESTMENTS II LLC,EN-Hegland- 155-94-0508H-4,LOT3,5.0,155.0,94.0,MTL,MANITOU,CONFIDENTIAL,,,,3709,,4363,,48.282195781051,-102.80063627385,Mountrail,2023,7,31,,,,140.74193548387098,,,,
11327,2023-07,33061050300000,39112,HESS BAKKEN INVESTMENTS II LLC,EN-Hegland- 155-94-0508H-5,LOT3,5.0,155.0,94.0,MTL,MANITOU,CONFIDENTIAL,,,,377,,2334,,48.2821686306392,-102.80076361491,Mountrail,2023,7,31,,,,75.29032258064517,,,,
11640,2023-07,33025046490000,39665,DEVON ENERGY,Cumulus 14-33TFH,SWSE,33.0,148.0,93.0,DUN,MCGREGORY BUTTES,BAKKEN,20197.0,12752.0,30.0,19626,11554.0,11554,0.0,47.5899967203639,-102.534878071287,Dunn,2023,7,31,651.516129032258,372.7096774193548,411.35483870967744,372.7096774193548,0.0,1925.6666666666667,62.11827956989247,713.6344086021505
11937,2023-07,33025046460000,39653,DEVON ENERGY,Stratus 14-33H,SWSE,33.0,148.0,93.0,DUN,MOCCASIN CREEK,BAKKEN,8332.0,22761.0,19.0,8038,5937.0,5937,0.0,47.5900216724002,-102.534760561883,Dunn,2023,7,31,268.7741935483871,191.51612903225808,734.2258064516129,191.51612903225808,0.0,989.5,31.91935483870968,300.69354838709677
12176,2023-07,33025046250000,39471,LIME ROCK RESOURCES III-A LP,Federal Kubik Trust 3-18-19H-143-95L,NWNW,17.0,143.0,95.0,DUN,MURPHY CREEK,BAKKEN,471.0,3043.0,7.0,248,156.0,0,95.0,47.2110314750739,-102.755950647246,Dunn,2023,7,31,15.193548387096774,5.032258064516129,98.16129032258064,0.0,3.064516129032258,26.0,0.8387096774193549,16.032258064516128
12194,2023-07,33025044760000,38925,LIME ROCK RESOURCES III-A LP,SCOTT 4-7-6H -143-95L,NWNW,17.0,143.0,95.0,DUN,MURPHY CREEK,BAKKEN,2490.0,11030.0,9.0,2072,487.0,0,280.0,47.2110309673709,-102.755789560618,Dunn,2023,7,31,80.3225806451613,15.709677419354838,355.80645161290323,0.0,9.03225806451613,81.16666666666667,2.618279569892473,82.94086021505377
12536,2023-07,33053095670000,37925,CONOCOPHILLIPS,Lone Beaver 1-1-17MTFH,SWSW,8.0,149.0,96.0,MCK,NORTH FORK,BAKKEN,0.0,6975.0,21.0,0,0.0,0,0.0,47.7344787852131,-103.003188705345,McKenzie,2023,7,31,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0
12537,2023-07,33053094790000,37693,CONOCOPHILLIPS,Lone Beaver 1-1-17TFH,SWSW,8.0,149.0,96.0,MCK,NORTH FORK,BAKKEN,0.0,6570.0,24.0,0,0.0,0,0.0,47.7343774263865,-103.003075297491,McKenzie,2023,7,31,0.0,0.0,211.93548387096774,0.0,0.0,0.0,0.0,0.0
12538,2023-07,33053094800000,37694,CONOCOPHILLIPS,Lone Beaver 2-1-17TFH,SWSW,8.0,149.0,96.0,MCK,NORTH FORK,BAKKEN,147.0,7586.0,20.0,147,0.0,0,0.0,47.7342760675598,-103.002961889636,McKenzie,2023,7,31,4.741935483870968,0.0,244.70967741935485,0.0,0.0,0.0,0.0,4.741935483870968
12539,2023-07,33053094810000,37695,CONOCOPHILLIPS,Lone Beaver 4-1-17MBH,SWSW,8.0,149.0,96.0,MCK,NORTH FORK,BAKKEN,115.0,6660.0,21.0,115,0.0,0,0.0,47.734174803647,-103.002852555342,McKenzie,2023,7,31,3.7096774193548385,0.0,214.83870967741936,0.0,0.0,0.0,0.0,3.7096774193548385
12540,2023-07,33053094820000,37696,CONOCOPHILLIPS,Lone Beaver 5-1-17TFH,SWSW,8.0,149.0,96.0,MCK,NORTH FORK,BAKKEN,100.0,6576.0,23.0,100,497.0,0,497.0,47.7340734448203,-103.002739147487,McKenzie,2023,7,31,3.225806451612903,16.032258064516128,212.1290322580645,0.0,16.032258064516128,82.83333333333333,2.672043010752688,5.897849462365591
12551,2023-07,33053094830000,37697,CONOCOPHILLIPS,Ole 2-1-29MBH,SWSW,20.0,149.0,96.0,MCK,NORTH FORK,BAKKEN,165.0,7792.0,5.0,165,246.0,226,0.0,47.7046810241288,-102.999884531769,McKenzie,2023,7,31,5.32258064516129,7.935483870967742,251.3548387096774,7.290322580645161,0.0,41.0,1.3225806451612903,6.64516129032258
12552,2023-07,33053095470000,37897,CONOCOPHILLIPS,Ole 2-1-29MTFH,SWSW,20.0,149.0,96.0,MCK,NORTH FORK,BAKKEN,160.0,6620.0,3.0,160,166.0,152,0.0,47.7046629374518,-103.000067483946,McKenzie,2023,7,31,5.161290322580645,5.354838709677419,213.5483870967742,4.903225806451613,0.0,27.666666666666668,0.8924731182795699,6.053763440860215
12553,2023-07,33053094840000,37698,CONOCOPHILLIPS,Ole 4-1-29MBH,SESW,20.0,149.0,96.0,MCK,NORTH FORK,BAKKEN,350.0,6408.0,7.0,350,238.0,218,0.0,47.7046963938834,-102.999705645168,McKenzie,2023,7,31,11.290322580645162,7.67741935483871,206.70967741935485,7.032258064516129,0.0,39.666666666666664,1.2795698924731183,12.56989247311828
12554,2023-07,33053094860000,37700,CONOCOPHILLIPS,Ole 6-1-29MBH,SESW,20.0,149.0,96.0,MCK,NORTH FORK,BAKKEN,0.0,5777.0,10.0,0,141.0,34,104.0,47.7047325917581,-102.999343806423,McKenzie,2023,7,31,0.0,4.548387096774194,186.3548387096774,1.096774193548387,3.3548387096774195,23.5,0.7580645161290324,0.7580645161290324
13811,2023-07,33061051390000,39660,EOG RESOURCES INC,Blueberry 2803-03H,SESE,29.0,155.0,90.0,MTL,PARSHALL,CONFIDENTIAL,,,,19707,,8819,,48.2131288092358,-102.26962267604,Mountrail,2023,7,31,,,,284.48387096774195,,,,
13812,2023-07,33061048950000,38325,EOG RESOURCES INC,Liberty LR 56-2320H,NENW,23.0,151.0,91.0,MTL,PARSHALL,CONFIDENTIAL,,,,0,,0,,47.8891209153741,-102.290803843358,Mountrail,2023,7,31,,,,0.0,,,,
14693,2023-07,33105057780000,39024,HESS BAKKEN INVESTMENTS II LLC,GO-GOLDEN VALLEY- 157-96-2833H-2,NWNW,28.0,157.0,96.0,WIL,RAY,CONFIDENTIAL,,,,15953,,37696,,48.4002995721469,-103.097521389302,Williams,2023,7,31,,,,1216.0,,,,
14694,2023-07,33105057790000,39025,HESS BAKKEN INVESTMENTS II LLC,GO-GOLDEN VALLEY- 157-96-2833H-3,NWNW,28.0,157.0,96.0,WIL,RAY,CONFIDENTIAL,,,,26002,,27101,,48.4002999526398,-103.097657318282,Williams,2023,7,31,,,,874.2258064516129,,,,
14695,2023-07,33105057800000,39026,HESS BAKKEN INVESTMENTS II LLC,GO-GOLDEN VALLEY- 157-96-2833H-4,NWNW,28.0,157.0,96.0,WIL,RAY,CONFIDENTIAL,,,,32358,,91214,,48.4003003331328,-103.097793247261,Williams,2023,7,31,,,,2942.3870967741937,,,,
14696,2023-07,33105057810000,39027,HESS BAKKEN INVESTMENTS II LLC,GO-GOLDEN VALLEY-LW- 157-96-2832H-1,NWNW,28.0,157.0,96.0,WIL,RAY,CONFIDENTIAL,,,,27929,,29481,,48.4003007136257,-103.097929176241,Williams,2023,7,31,,,,951.0,,,,
14697,2023-07,33105058740000,39292,HESS BAKKEN INVESTMENTS II LLC,GO-TONG TRUST A- 157-96-2032H-2,NENW,20.0,157.0,96.0,WIL,RAY,CONFIDENTIAL,,,,23756,,35166,,48.4139790169402,-103.11781523946,Williams,2023,7,31,,,,1134.3870967741937,,,,
14698,2023-07,33105058730000,39291,HESS BAKKEN INVESTMENTS II LLC,GO-TONG TRUST A- 157-96-2032H-3,NENW,20.0,157.0,96.0,WIL,RAY,CONFIDENTIAL,,,,36377,,64231,,48.4139783414473,-103.117951206663,Williams,2023,7,31,,,,2071.967741935484,,,,
14699,2023-07,33105058720000,39290,HESS BAKKEN INVESTMENTS II LLC,GO-TONG TRUST A- 157-96-2032H-4,NENW,20.0,157.0,96.0,WIL,RAY,CONFIDENTIAL,,,,34610,,59709,,48.4139776659544,-103.118087173866,Williams,2023,7,31,,,,1926.0967741935483,,,,
14700,2023-07,33105058710000,39289,HESS BAKKEN INVESTMENTS II LLC,GO-TONG TRUST A-LW- 157-96-2032H-1,NENW,20.0,157.0,96.0,WIL,RAY,CONFIDENTIAL,,,,47667,,68536,,48.4139769904615,-103.118223141069,Williams,2023,7,31,,,,2210.8387096774195,,,,
15511,2023-07,33061050770000,39313,STEPHENS WILLISTON LLC DBA SEG WILLISTON LLC,Gernand 13X-32C,NWSW,32.0,156.0,90.0,MTL,ROSS,BAKKEN,18524.0,118147.0,29.0,17999,9308.0,0,9308.0,48.2897842730775,-102.287428253955,Mountrail,2023,7,31,597.5483870967741,300.258064516129,3811.1935483870966,0.0,300.258064516129,1551.3333333333333,50.04301075268817,647.5913978494623
15512,2023-07,33061050780000,39314,STEPHENS WILLISTON LLC DBA SEG WILLISTON LLC,Gernand 13X-32D,NWSW,32.0,156.0,90.0,MTL,ROSS,BAKKEN,17447.0,122674.0,29.0,16770,9258.0,0,9258.0,48.2897020397134,-102.287427735832,Mountrail,2023,7,31,562.8064516129032,298.64516129032256,3957.2258064516127,0.0,298.64516129032256,1543.0,49.774193548387096,612.5806451612902
15513,2023-07,33061050350000,39152,HESS BAKKEN INVESTMENTS II LLC,RS-F Armour- 156-92-1224H-2,SWSE,1.0,156.0,92.0,MTL,ROSS,CONFIDENTIAL,,,,7266,,6644,,48.3581103961292,-102.449181053365,Mountrail,2023,7,31,,,,214.32258064516128,,,,
15514,2023-07,33061050360000,39153,HESS BAKKEN INVESTMENTS II LLC,RS-F Armour- 156-92-1224H-3,SWSE,1.0,156.0,92.0,MTL,ROSS,CONFIDENTIAL,,,,3331,,1806,,48.3581109522152,-102.449045197097,Mountrail,2023,7,31,,,,58.25806451612903,,,,
16562,2023-07,33061051130000,39550,CHORD ENERGY,S-Bar Joanna 5393 34-1 6B,NESE,1.0,153.0,93.0,MTL,SANISH,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,48.1013110035254,-102.571127126436,Mountrail,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16636,2023-07,33061048820000,38302,CHORD ENERGY,Bigfoot 23 #7H,NENE,26.0,153.0,92.0,MTL,SANISH,CONFIDENTIAL,,,,8410,,7848,,48.0487594798485,-102.462831989397,Mountrail,2023,7,31,,,,253.16129032258064,,,,
16637,2023-07,33061046730000,37344,CHORD ENERGY,BIGFOOT 23-11 #6TFH,NENE,26.0,153.0,92.0,MTL,SANISH,CONFIDENTIAL,,,,11131,,10925,,48.0488499415482,-102.46283199491,Mountrail,2023,7,31,,,,352.4193548387097,,,,
16638,2023-07,33061050150000,38991,CHORD ENERGY,Bigfoot 42-26-2TFHU,SENE,26.0,153.0,92.0,MTL,SANISH,CONFIDENTIAL,,,,0,,118,,48.048411319849,-102.462827876677,Mountrail,2023,7,31,,,,3.806451612903226,,,,
16639,2023-07,33061050160000,38992,CHORD ENERGY,BIGFOOT 42-26TFHU,SENE,26.0,153.0,92.0,MTL,SANISH,CONFIDENTIAL,,,,0,,0,,48.0484935577578,-102.462827881689,Mountrail,2023,7,31,,,,0.0,,,,
17327,2023-07,33025045680000,39340,ENERPLUS RESOURCES USA CORPORATION,Cushion 148-93-04A-09H-LL,SWSW,36.0,149.0,93.0,DUN,SOUTH FORK,CONFIDENTIAL,,,,0,,0,,47.6767737741042,-102.533518766363,Dunn,2023,7,31,,,,0.0,,,,
17328,2023-07,33025045720000,39344,ENERPLUS RESOURCES USA CORPORATION,Pitstop 148-93-04A-09H,SWSW,36.0,149.0,93.0,DUN,SOUTH FORK,CONFIDENTIAL,,,,0,,0,,47.6765047466188,-102.533914433576,Dunn,2023,7,31,,,,0.0,,,,
17329,2023-07,33025045710000,39343,ENERPLUS RESOURCES USA CORPORATION,Rally 148-93-04A-09H,SWSW,36.0,149.0,93.0,DUN,SOUTH FORK,CONFIDENTIAL,,,,0,,0,,47.6765699594855,-102.533817529087,Dunn,2023,7,31,,,,0.0,,,,
17330,2023-07,33025045700000,39342,ENERPLUS RESOURCES USA CORPORATION,Sprint 148-93-04A-09H,SWSW,36.0,149.0,93.0,DUN,SOUTH FORK,CONFIDENTIAL,,,,0,,0,,47.6766378895549,-102.53371658691,Dunn,2023,7,31,,,,0.0,,,,
17331,2023-07,33025045690000,39341,ENERPLUS RESOURCES USA CORPORATION,Stock 148-93-04A-09H,SWSW,36.0,149.0,93.0,DUN,SOUTH FORK,CONFIDENTIAL,,,,0,,0,,47.6767058196243,-102.533615644734,Dunn,2023,7,31,,,,0.0,,,,
17938,2023-07,33061050640000,39257,STEPHENS WILLISTON LLC DBA SEG WILLISTON LLC,Greenbrier 15591W-0211- 5H,SWSE,11.0,155.0,91.0,MTL,STANLEY,BAKKEN,0.0,2409.0,13.0,0,20.0,0,20.0,48.2559499812377,-102.337577948577,Mountrail,2023,7,31,0.0,0.6451612903225806,77.70967741935483,0.0,0.6451612903225806,3.3333333333333335,0.10752688172043011,0.10752688172043011
17939,2023-07,33061050650000,39258,STEPHENS WILLISTON LLC DBA SEG WILLISTON LLC,Greenbrier 15591W-0211- 6H,SWSE,11.0,155.0,91.0,MTL,STANLEY,BAKKEN,3993.0,18240.0,14.0,3269,2187.0,0,2187.0,48.2559492564199,-102.337454694281,Mountrail,2023,7,31,128.80645161290323,70.54838709677419,588.3870967741935,0.0,70.54838709677419,364.5,11.758064516129032,140.56451612903226
17940,2023-07,33061050660000,39259,STEPHENS WILLISTON LLC DBA SEG WILLISTON LLC,Greenbrier 15591W-0211- 7HSL,SESE,11.0,155.0,91.0,MTL,STANLEY,BAKKEN,8183.0,27253.0,15.0,7486,4494.0,0,4494.0,48.2559485316022,-102.337331439986,Mountrail,2023,7,31,263.96774193548384,144.96774193548387,879.1290322580645,0.0,144.96774193548387,749.0,24.161290322580644,288.1290322580645
17954,2023-07,33061051370000,39658,EOG RESOURCES INC,Blueberry 2919-01H,SESE,29.0,155.0,90.0,MTL,STANLEY,CONFIDENTIAL,,,,19232,,11485,,48.2128820435569,-102.269621538046,Mountrail,2023,7,31,,,,370.48387096774195,,,,
17955,2023-07,33061051380000,39659,EOG RESOURCES INC,Blueberry 2919-02H,SESE,29.0,155.0,90.0,MTL,STANLEY,CONFIDENTIAL,,,,18740,,11835,,48.2130191356007,-102.269622170265,Mountrail,2023,7,31,,,,381.7741935483871,,,,
18351,2023-07,33105050920000,35947,EXXONMOBIL,BRONSON 31X-14A,NWNE,14.0,159.0,96.0,WIL,TEMPLE,BAKKEN,423.0,0.0,31.0,423,0.0,0,0.0,48.6036806877381,-103.044518142828,Williams,2023,7,31,13.64516129032258,0.0,0.0,0.0,0.0,0.0,0.0,13.64516129032258
18352,2023-07,33105050930000,35948,EXXONMOBIL,BRONSON 31X-14B,NWNE,14.0,159.0,96.0,WIL,TEMPLE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,48.6036808628322,-103.044394094549,Williams,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18353,2023-07,33105050940000,35949,EXXONMOBIL,BRONSON 31X-14C,NWNE,14.0,159.0,96.0,WIL,TEMPLE,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,48.6036812130205,-103.044145997993,Williams,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
