index,reportdate,api_wellno,fileno,company,wellname,quarter,section,township,range,county,fieldname,pool,oil,wtr,days,runs,gas,gassold,flared,lat,long,county_name,year,month,days_in_month,oil_per_day,gas_per_day,water_per_day,gassold_per_day,flared_per_day,gas_boe,gas_boe_per_day,total_boed
1619,2023-07,33025045880000,39376,MARATHON OIL COMPANY,WHALEN 14-20H,NENW,29.0,146.0,94.0,DUN,BAILEY,BAKKEN,45674.0,67486.0,30.0,45405,44679.0,44065,422.0,47.4422345696458,-102.688281723174,Dunn,2023,7,31,1473.3548387096773,1441.258064516129,2176.967741935484,1421.4516129032259,13.612903225806452,7446.5,240.20967741935485,1713.5645161290322
2248,2023-07,33025040500000,37613,CONOCOPHILLIPS,PULLMAN 3A MBH-ULW,SESW,18.0,147.0,95.0,DUN,BEAR CREEK,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.5472299584727,-102.835688284194,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2390,2023-07,33025047390000,20040,EXXONMOBIL,WILLIAM 41X-6,LOT1,6.0,148.0,96.0,DUN,BEAR DEN,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.6729770007822,-102.951334167308,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2703,2023-07,33061050200000,39004,SLAWSON EXPLORATION COMPANY INC,Cannonball Federal 3 SLH,NENE,33.0,152.0,91.0,MTL,BIG BEND,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.9482338462658,-102.32720531402,Mountrail,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2959,2023-07,33061050490000,39200,SLAWSON EXPLORATION COMPANY INC,Voyager 4-28H,NENE,33.0,152.0,91.0,MTL,BIG BEND,BAKKEN,1626.0,1905.0,2.0,0,1121.0,0,1109.0,47.948233914887,-102.327001094545,Mountrail,2023,7,31,52.45161290322581,36.16129032258065,61.45161290322581,0.0,35.774193548387096,186.83333333333334,6.026881720430108,58.47849462365592
3053,2023-07,33061044660000,36377,HESS BAKKEN INVESTMENTS II LLC,EN-ENGER- 156-94-1423H-2,NENE,14.0,156.0,94.0,MTL,BIG BUTTE,CONFIDENTIAL,,,,29197,,44929,,48.3399246980979,-102.723228119616,Mountrail,2023,7,31,,,,1449.3225806451612,,,,
3054,2023-07,33061044670000,36378,HESS BAKKEN INVESTMENTS II LLC,EN-ENGER- 156-94-1423H-3,NENE,14.0,156.0,94.0,MTL,BIG BUTTE,CONFIDENTIAL,,,,6320,,1694,,48.3399248250008,-102.723092350898,Mountrail,2023,7,31,,,,54.645161290322584,,,,
3055,2023-07,33061051090000,39538,HESS BAKKEN INVESTMENTS II LLC,EN-ENGER- 156-94-1423H-7,NENE,15.0,156.0,94.0,MTL,BIG BUTTE,CONFIDENTIAL,,,,581,,306,,48.3403542011397,-102.74398467696,Mountrail,2023,7,31,,,,9.870967741935484,,,,
3256,2023-07,33053085590000,35018,CONOCOPHILLIPS,LILLIBRIDGE  1C MBH,SESW,23.0,150.0,96.0,MCK,BLUE BUTTES,BAKKEN,32984.0,13069.0,31.0,32809,39421.0,35445,3080.0,47.7912169994343,-102.934770566808,McKenzie,2023,7,31,1064.0,1271.6451612903227,421.5806451612903,1143.3870967741937,99.35483870967742,6570.166666666667,211.9408602150538,1275.9408602150538
3262,2023-07,33053095480000,37898,CONOCOPHILLIPS,Lillibridge 2A MBH,SESW,23.0,150.0,96.0,MCK,BLUE BUTTES,BAKKEN,21976.0,11308.0,14.0,22233,26249.0,23553,2101.0,47.7912180023149,-102.93550357809,McKenzie,2023,7,31,708.9032258064516,846.741935483871,364.7741935483871,759.7741935483871,67.7741935483871,4374.833333333333,141.1236559139785,850.0268817204301
